ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
26	"ENSMUSG00000007035"	"Msh5"	chr17	-	35042097	35042180	35043728	35043764	35041469	35041515	35044024	35044134
27	"ENSMUSG00000092511"	"Gm20547"	chr17	-	34861730	34861964	34863022	34863031	34861027	34861213	34863344	34863474
28	"ENSMUSG00000024340"	"Btnl2"	chr17	+	34362658	34362679	34363016	34363037	34360921	34361203	34363191	34363539
29	"ENSMUSG00000024330"	"Col11a2"	chr17	+	34045770	34045848	34046439	34046502	34044818	34045010	34047097	34047277
30	"ENSMUSG00000024330"	"Col11a2"	chr17	+	34045770	34045848	34046439	34046502	34044818	34045010	34049618	34049678
31	"ENSMUSG00000024330"	"Col11a2"	chr17	+	34045770	34045848	34047097	34047277	34044818	34045010	34049618	34049678
32	"ENSMUSG00000024330"	"Col11a2"	chr17	+	34046439	34046502	34047097	34047277	34044818	34045010	34049618	34049678
33	"ENSMUSG00000058392"	"Rrp1b"	chr17	+	32053856	32053954	32055104	32055124	32052738	32052827	32055910	32055997
34	"ENSMUSG00000061613"	"U2af1"	chr17	-	31651645	31651712	31651768	31651808	31648844	31648894	31654978	31655066
35	"ENSMUSG00000061613"	"U2af1"	chr17	-	31651645	31651712	31652501	31652568	31648844	31648894	31654978	31655066
36	"ENSMUSG00000061613"	"U2af1"	chr17	-	31651768	31651808	31652501	31652568	31648844	31648894	31654978	31655066
37	"ENSMUSG00000041119"	"Pde9a"	chr17	+	31414100	31414171	31415279	31415357	31386256	31386356	31420244	31420288
38	"ENSMUSG00000041119"	"Pde9a"	chr17	+	31415279	31415357	31420244	31420288	31386256	31386356	31443837	31443908
39	"ENSMUSG00000041119"	"Pde9a"	chr17	+	31415279	31415357	31443165	31443220	31386256	31386356	31443837	31443908
40	"ENSMUSG00000041119"	"Pde9a"	chr17	+	31415279	31415357	31420244	31420288	31414100	31414171	31443165	31443220
41	"ENSMUSG00000041119"	"Pde9a"	chr17	+	31420244	31420288	31443165	31443220	31386256	31386356	31443837	31443908
42	"ENSMUSG00000041119"	"Pde9a"	chr17	+	31420244	31420288	31443165	31443220	31415279	31415357	31443837	31443908
43	"ENSMUSG00000005936"	"Kctd20"	chr17	+	28963250	28963371	28963960	28964158	28962809	28962912	28964973	28965084
44	"ENSMUSG00000002249"	"Tead3"	chr17	-	28336273	28336336	28336510	28336573	28335484	28335496	28340153	28340218
45	"ENSMUSG00000037805"	"Rpl10a"	chr17	+	28328966	28329047	28329373	28329522	28328810	28328885	28330524	28330697
46	"ENSMUSG00000034413"	"Neurl1b"	chr17	+	26431786	26432332	26438666	26439359	26414828	26414995	26441077	26441203
47	"ENSMUSG00000024122"	"Pdpk1"	chr17	-	24100810	24100908	24107228	24107271	24098093	24098169	24110847	24111117
48	"ENSMUSG00000095093"	"Vmn2r111"	chr17	-	22559042	22559166	22564438	22564577	22544503	22548860	22568838	22569066
49	"ENSMUSG00000116780"	"Gm3417"	chr17	-	14967545	14967701	14969770	14969807	14964241	14964355	14970386	14970593
50	"ENSMUSG00000038347"	"Tcte2"	chr17	-	13722419	13722679	13724901	13724963	13716435	13717633	13727921	13728022
51	"ENSMUSG00000068037"	"Mas1"	chr17	-	12848076	12848120	12854301	12854333	12846237	12846412	12854436	12854460
52	"ENSMUSG00000040732"	"Erg"	chr16	-	95369994	95370063	95377300	95377372	95369321	95369378	95379111	95379192
53	"ENSMUSG00000109841"	"E330011O21Rik"	chr16	-	78253436	78253467	78253612	78253771	78251772	78251888	78255359	78255454
54	"ENSMUSG00000034473"	"Sec22a"	chr16	-	35318803	35318869	35329497	35329613	35314063	35314287	35347598	35347793
55	"ENSMUSG00000109783"	"Gm45338"	chr16	+	23543622	23543871	23554697	23554933	23534579	23534799	23559771	23560080
56	"ENSMUSG00000012114"	"Med15"	chr16	-	17680548	17680761	17683158	17683188	17674404	17674658	17685452	17685504
57	"ENSMUSG00000041617"	"Ccdc74a"	chr16	+	17648066	17648126	17649994	17650074	17647607	17647652	17650148	17650205
58	"ENSMUSG00000005899"	"Smpd4"	chr16	+	17625719	17625862	17625943	17626019	17623904	17623991	17626429	17626538
59	"ENSMUSG00000099083"	"Atf7"	chr15	-	102557459	102557578	102563313	102563410	102553783	102553921	102593671	102593740
60	"ENSMUSG00000001285"	"Myg1"	chr15	+	102336831	102336984	102337100	102337223	102334201	102334361	102337328	102337510
61	"ENSMUSG00000023033"	"Scn8a"	chr15	+	100959339	100959431	100959602	100959694	100957460	100957589	100969020	100969242
62	"ENSMUSG00000023010"	"Tmbim6"	chr15	+	99393694	99393730	99399656	99399871	99392985	99393040	99401579	99401663
63	"ENSMUSG00000022475"	"Hdac7"	chr15	-	97799556	97799644	97800694	97800802	97798223	97798343	97802075	97802125
64	"ENSMUSG00000022629"	"Kif21a"	chr15	-	90959851	90959872	90964974	90964995	90959687	90959748	90965466	90965632
65	"ENSMUSG00000075517"	"Cyp2d37-ps"	chr15	-	82690970	82691145	82691199	82691360	82690361	82690538	82691441	82691594
66	"ENSMUSG00000024921"	"Smarca2"	chr19	+	26759877	26759931	26770937	26771043	26751823	26752041	26771507	26771609
67	"ENSMUSG00000022407"	"Adsl"	chr15	+	80955619	80955664	80956212	80956292	80952196	80952400	80960394	80960566
68	"ENSMUSG00000033029"	"1700088E04Rik"	chr15	-	79136306	79136489	79139237	79139300	79135636	79135765	79140880	79140992
69	"ENSMUSG00000033565"	"Rbfox2"	chr15	-	77091811	77091854	77094450	77094490	77086066	77086155	77097939	77098072
70	"ENSMUSG00000055762"	"Eef1d"	chr15	-	75897225	75897282	75900690	75900762	75896819	75896919	75901131	75901252
71	"ENSMUSG00000022607"	"Ptk2"	chr15	-	73360025	73360337	73365040	73365195	73343132	73343359	73394647	73394744
72	"ENSMUSG00000022607"	"Ptk2"	chr15	-	73391758	73391880	73392343	73392447	73343284	73343359	73394647	73394744
73	"ENSMUSG00000037386"	"Rims2"	chr15	+	39452039	39452107	39452223	39452432	39436996	39437922	39454359	39454479
74	"ENSMUSG00000022292"	"Rrm2b"	chr15	-	37931601	37931706	37953680	37953754	37929037	37929151	37960843	37960891
75	"ENSMUSG00000022255"	"Mtdh"	chr15	+	34114798	34114975	34116310	34116376	34114023	34114108	34117879	34118110
76	"ENSMUSG00000021282"	"Eif5"	chr12	+	111542679	111542841	111543099	111543264	111542151	111542310	111543526	111543661
77	"ENSMUSG00000097451"	"Rian"	chr12	+	109607413	109607496	109617210	109617349	109606213	109606343	109620312	109620400
78	"ENSMUSG00000097451"	"Rian"	chr12	+	109637838	109637926	109640266	109640328	109627047	109627153	109642564	109642652
79	"ENSMUSG00000097451"	"Rian"	chr12	+	109640266	109640328	109642564	109642652	109637838	109637926	109643413	109643461
80	"ENSMUSG00000020964"	"Sel1l"	chr12	-	91831766	91831784	91833054	91833222	91831568	91831674	91841637	91841854
81	"ENSMUSG00000020964"	"Sel1l"	chr12	-	91831766	91831784	91833204	91833222	91831568	91831674	91841637	91841854
82	"ENSMUSG00000079055"	"Slc8a3"	chr12	-	81214065	81214169	81216720	81216827	81209453	81209471	81314259	81316104
83	"ENSMUSG00000015143"	"Actn1"	chr12	-	80170182	80170248	80170685	80170766	80168857	80169016	80171728	80171875
84	"ENSMUSG00000044712"	"Slc38a6"	chr12	+	73293698	73293799	73310144	73310197	73292159	73292233	73318976	73319016
85	"ENSMUSG00000021000"	"Mia2"	chr12	+	59144698	59144770	59146335	59146362	59137697	59137786	59146846	59146957
86	"ENSMUSG00000021000"	"Mia2"	chr12	+	59174105	59174188	59176330	59176459	59172524	59172592	59179849	59180008
87	"ENSMUSG00000037669"	"Ldah"	chr12	+	8227219	8227363	8238442	8238615	8220599	8220755	8268363	8268598
88	"ENSMUSG00000071454"	"Dtnb"	chr12	+	3617605	3617691	3632809	3632964	3596648	3596862	3643916	3644022
89	"ENSMUSG00000071454"	"Dtnb"	chr12	+	3773550	3773640	3776058	3776109	3772586	3772746	3779618	3779654
90	"ENSMUSG00000071454"	"Dtnb"	chr12	+	3773550	3773640	3779618	3779654	3772586	3772746	3781105	3781398
91	"ENSMUSG00000071454"	"Dtnb"	chr12	+	3774569	3774610	3776058	3776109	3773550	3773640	3779618	3779654
92	"ENSMUSG00000037486"	"Asxl2"	chr12	+	3445451	3445454	3450250	3450253	3442473	3442556	3451661	3451770
93	"ENSMUSG00000015536"	"Mocs2"	chr13	+	114824566	114824694	114825210	114825234	114820801	114820946	114826157	114826281
94	"ENSMUSG00000032745"	"Gpbp1"	chr13	-	111443320	111443406	111447895	111447955	111440631	111440816	111448932	111448999
95	"ENSMUSG00000021709"	"Erbin"	chr13	-	103827906	103828023	103830187	103830331	103824719	103824926	103833497	103835028
96	"ENSMUSG00000021614"	"Vcan"	chr13	-	89688284	89693501	89702917	89705797	89685078	89685192	89712204	89712498
97	"ENSMUSG00000001542"	"Ell2"	chr13	+	75724952	75725000	75746291	75746413	75707710	75707797	75749924	75750088
98	"ENSMUSG00000079550"	"Mpp4"	chr1	-	59140943	59140961	59143694	59143712	59139761	59139800	59143755	59143820
99	"ENSMUSG00000002871"	"Tpra1"	chr6	+	88906537	88906712	88907575	88907826	88905948	88906078	88907940	88908072
100	"ENSMUSG00000002871"	"Tpra1"	chr6	+	88910340	88910401	88910547	88910650	88910150	88910261	88910796	88910877
101	"ENSMUSG00000071337"	"Tia1"	chr6	+	86419100	86419133	86419693	86419812	86418877	86418932	86420323	86420411
102	"ENSMUSG00000030007"	"Cct7"	chr6	+	85459941	85460048	85461086	85461170	85459114	85459268	85461507	85461560
103	"ENSMUSG00000118461"	"Gm21679"	chrY	-	29671838	29671905	29683261	29683393	29671255	29671290	29684577	29684609
104	"ENSMUSG00000118461"	"Gm21679"	chrY	-	29671838	29671905	29683261	29683396	29671255	29671290	29684577	29684609
105	"ENSMUSG00000118461"	"Gm21679"	chrY	-	29673635	29673703	29683261	29683393	29671838	29671905	29684577	29684609
106	"ENSMUSG00000033335"	"Dnm2"	chr9	+	21478898	21479037	21480406	21480545	21478280	21478348	21481332	21481419
107	"ENSMUSG00000033335"	"Dnm2"	chr9	+	21489909	21489921	21490657	21490669	21489742	21489794	21494503	21494617
108	"ENSMUSG00000032511"	"Scn5a"	chr9	-	119543098	119543190	119543323	119543415	119539523	119539754	119550605	119550734
109	"ENSMUSG00000033981"	"Gria2"	chr3	-	80690403	80690518	80691319	80691434	80689102	80689351	80692284	80692532
110	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42293443	42293522	42294074	42294156	42292940	42293018	42298798	42298924
111	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42293443	42293522	42294077	42294156	42292940	42293018	42298798	42298924
112	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42294077	42294156	42298798	42298924	42292940	42293018	42299237	42299322
113	"ENSMUSG00000021557"	"Agtpbp1"	chr13	-	59528386	59528518	59531056	59531203	59525145	59525239	59532012	59532076
114	"ENSMUSG00000053436"	"Mapk14"	chr17	+	28737010	28737090	28740679	28740759	28728903	28728975	28741787	28741866
115	"ENSMUSG00000032625"	"Thsd7a"	chr6	-	12349709	12349715	12351611	12351617	12348196	12348330	12351984	12352163
116	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156177751	156177906	156178879	156178952	156177335	156177385	156179176	156179240
117	"ENSMUSG00000025006"	"Sorbs1"	chr19	-	40340044	40340146	40340684	40340750	40336985	40337035	40344355	40344439
118	"ENSMUSG00000025006"	"Sorbs1"	chr19	-	40376644	40377016	40377653	40378379	40373475	40373617	40382520	40382633
119	"ENSMUSG00000025006"	"Sorbs1"	chr19	-	40376983	40377016	40377653	40378379	40373475	40373617	40382520	40382633
120	"ENSMUSG00000087380"	"2210408F21Rik"	chr6	+	31244104	31244358	31249817	31249936	31220421	31220519	31285002	31285120
121	"ENSMUSG00000087380"	"2210408F21Rik"	chr6	+	31285002	31285120	31328288	31328389	31220404	31220519	31335990	31336062
122	"ENSMUSG00000052572"	"Dlg2"	chr7	+	92417223	92417323	92418087	92418133	92386914	92386990	92420631	92420673
123	"ENSMUSG00000052572"	"Dlg2"	chr7	+	92417223	92417323	92418087	92418133	92386914	92386990	92427690	92427741
124	"ENSMUSG00000035299"	"Mid1"	chrX	+	169800739	169800792	169926953	169927669	169685198	169685372	169966062	169966158
125	"ENSMUSG00000017978"	"Cadps2"	chr6	-	23344582	23344591	23354193	23354202	23344206	23344363	23355823	23355927
126	"ENSMUSG00000048031"	"Fcrl5"	chr3	+	87440187	87440208	87441983	87442268	87435884	87435948	87443533	87443794
127	"ENSMUSG00000037174"	"Elf2"	chr3	-	51294092	51294188	51299782	51299885	51266752	51266866	51308049	51308215
128	"ENSMUSG00000063889"	"Crem"	chr18	-	3276693	3276729	3287903	3288092	3273421	3273578	3295039	3295182
129	"ENSMUSG00000051747"	"Ttn"	chr2	-	76857903	76857987	76859913	76859997	76847724	76847808	76862799	76862859
130	"ENSMUSG00000058388"	"Phtf1"	chr3	+	103987426	103987561	103988614	103988774	103985752	103985909	103991037	103991211
131	"ENSMUSG00000029281"	"Smr2"	chr5	+	88088177	88088244	88105315	88105382	88086555	88086629	88108518	88109053
132	"ENSMUSG00000040327"	"Cul9"	chr17	-	46502612	46502687	46502687	46502786	46502384	46502495	46503088	46503182
133	"ENSMUSG00000058589"	"Anks1b"	chr10	+	90895098	90895206	90914692	90914767	90680766	90680919	90921295	90921424
134	"ENSMUSG00000058589"	"Anks1b"	chr10	+	90897246	90897426	90914692	90914767	90895098	90895206	90921295	90921424
135	"ENSMUSG00000058589"	"Anks1b"	chr10	+	90897246	90897426	90914695	90914767	90895098	90895206	90921295	90921424
136	"ENSMUSG00000032299"	"Commd4"	chr9	-	57156749	57156758	57156774	57156840	57156515	57156555	57157066	57157139
137	"ENSMUSG00000031516"	"Dctn6"	chr8	-	34098918	34099101	34104985	34105039	34097188	34097294	34106341	34106406
138	"ENSMUSG00000031516"	"Dctn6"	chr8	-	34098918	34099101	34104985	34105098	34097188	34097294	34106341	34106406
139	"ENSMUSG00000031078"	"Cttn"	chr7	-	144449936	144450021	144450977	144451088	144449559	144449615	144452026	144452137
140	"ENSMUSG00000031012"	"Cask"	chrX	-	13550946	13550982	13552372	13552441	13549164	13549361	13554877	13554946
141	"ENSMUSG00000027489"	"Necab3"	chr2	-	154555583	154555692	154555894	154555956	154554899	154554925	154557056	154557081
142	"ENSMUSG00000054252"	"Fgfr3"	chr5	+	33731280	33731431	33732116	33732261	33730143	33730334	33732721	33732912
143	"ENSMUSG00000022378"	"Fam49b"	chr15	-	63956599	63956682	63957584	63957667	63950005	63950127	63970929	63970968
144	"ENSMUSG00000107283"	"Mpv17"	chr5	-	31145245	31145278	31145494	31145590	31144699	31144752	31145683	31145776
145	"ENSMUSG00000024909"	"Efemp2"	chr19	+	5477561	5477684	5477926	5478043	5476065	5476272	5478200	5478320
146	"ENSMUSG00000006344"	"Ggt5"	chr10	+	75604311	75604584	75604642	75604800	75603966	75604162	75605255	75605402
147	"ENSMUSG00000019843"	"Fyn"	chr10	+	39529436	39529601	39529918	39530074	39526780	39526930	39532015	39532195
148	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67031950	67032026	67032465	67032541	67031451	67031514	67032793	67032864
149	"ENSMUSG00000093817"	"Gm2101"	chrX	+	27690057	27690090	27690286	27690450	27689460	27689547	27691008	27691121
150	"ENSMUSG00000060261"	"Gtf2i"	chr5	-	134274538	134274595	134279436	134279514	134266542	134266656	134282786	134282830
151	"ENSMUSG00000026743"	"Mllt10"	chr2	+	18082510	18082725	18092783	18092834	18071124	18071204	18101457	18101512
152	"ENSMUSG00000021936"	"Mapk8"	chr14	-	33390241	33390313	33390672	33390744	33388799	33388982	33392941	33393107
153	"ENSMUSG00000028760"	"Eif4g3"	chr4	+	138084256	138084370	138087532	138087565	138082892	138082988	138096751	138096931
154	"ENSMUSG00000028760"	"Eif4g3"	chr4	+	138084256	138084370	138095908	138095929	138082892	138082988	138096751	138096931
155	"ENSMUSG00000028760"	"Eif4g3"	chr4	+	138087532	138087565	138095908	138095929	138082892	138082988	138096751	138096931
156	"ENSMUSG00000012117"	"Dhdds"	chr4	-	133991278	133991380	133992463	133992580	133982799	133982914	133994161	133994304
157	"ENSMUSG00000029767"	"Calu"	chr6	+	29361293	29361487	29361559	29361753	29356470	29356697	29366039	29366206
158	"ENSMUSG00000028898"	"Trnau1ap"	chr4	-	132327121	132327178	132328468	132328566	132325945	132326045	132329352	132329538
159	"ENSMUSG00000041718"	"Alg13"	chrX	+	144319898	144320002	144320002	144320061	144318002	144318121	144322011	144322150
160	"ENSMUSG00000021820"	"Camk2g"	chr14	-	20745791	20745860	20747818	20747851	20744603	20744648	20755658	20755702
161	"ENSMUSG00000028782"	"Adgrb2"	chr4	+	130005389	130005554	130006751	130006916	130005024	130005108	130007561	130007726
162	"ENSMUSG00000028782"	"Adgrb2"	chr4	+	130014934	130015033	130016633	130016696	130014550	130014636	130017061	130017233
163	"ENSMUSG00000028797"	"Tmem234"	chr4	+	129601406	129601533	129601869	129601961	129600982	129601243	129602194	129602261
164	"ENSMUSG00000028797"	"Tmem234"	chr4	+	129601406	129601625	129601869	129601961	129600982	129601134	129602194	129602261
165	"ENSMUSG00000028797"	"Tmem234"	chr4	+	129601406	129601625	129601869	129601961	129600982	129601243	129602194	129602261
166	"ENSMUSG00000068663"	"Clec16a"	chr16	+	10571668	10571674	10572917	10572923	10571493	10571599	10573299	10573423
167	"ENSMUSG00000063524"	"Eno1"	chr4	+	150241766	150241825	150242121	150242180	150241044	150241140	150244004	150244074
168	"ENSMUSG00000061887"	"Ssbp3"	chr4	+	107027216	107027297	107028192	107028252	107009678	107009768	107030861	107030928
169	"ENSMUSG00000024286"	"Ccny"	chr18	-	9349387	9349423	9377793	9377828	9345413	9345471	9386734	9386809
170	"ENSMUSG00000028573"	"Fggy"	chr4	+	95844072	95844193	95849581	95849676	95837584	95837659	95922924	95922986
171	"ENSMUSG00000028863"	"Meaf6"	chr4	+	125107516	125107546	125107651	125107709	125102838	125103031	125108322	125108356
172	"ENSMUSG00000025486"	"Sirt3"	chr7	-	140865665	140865826	140867730	140867886	140864974	140865184	140869488	140869650
173	"ENSMUSG00000044573"	"Acp1"	chr12	-	30904717	30904831	30904869	30904983	30897744	30897806	30905068	30905142
174	"ENSMUSG00000028487"	"Bnc2"	chr4	-	84506527	84506611	84531569	84531668	84414245	84414348	84546204	84546405
175	"ENSMUSG00000028487"	"Bnc2"	chr4	-	84555778	84555904	84672399	84672620	84546204	84546405	84674974	84674996
176	"ENSMUSG00000028487"	"Bnc2"	chr4	-	84610108	84610197	84672399	84672620	84555778	84555904	84674974	84674999
177	"ENSMUSG00000048402"	"Gli2"	chr1	-	118866571	118866757	119002039	119002206	118855435	118855637	119053301	119053339
178	"ENSMUSG00000048402"	"Gli2"	chr1	-	118867978	118868181	118890295	118890401	118866571	118866757	119002039	119002206
179	"ENSMUSG00000035392"	"Dennd1a"	chr2	-	38136925	38136975	38159806	38159850	38126528	38126648	38243401	38243472
180	"ENSMUSG00000021668"	"Polk"	chr13	-	96490936	96490969	96495407	96495532	96489181	96489278	96501518	96501672
181	"ENSMUSG00000021668"	"Polk"	chr13	-	96496492	96496555	96496602	96496842	96495407	96495532	96501518	96501672
182	"ENSMUSG00000061306"	"Slc38a10"	chr11	-	120108466	120108490	120109371	120109395	120106433	120106610	120109431	120109536
183	"ENSMUSG00000061306"	"Slc38a10"	chr11	-	120108466	120108553	120109371	120109395	120106433	120106610	120109431	120109536
184	"ENSMUSG00000056851"	"Pcbp2"	chr15	+	102485947	102486040	102487087	102487129	102484153	102484240	102488204	102488277
185	"ENSMUSG00000037536"	"Fbxo34"	chr14	+	47508175	47508267	47509056	47509229	47507264	47507446	47526204	47526314
186	"ENSMUSG00000029660"	"Tex26"	chr5	+	149457060	149457246	149458785	149458913	149456817	149456962	149460820	149460997
187	"ENSMUSG00000040528"	"Milr1"	chr11	+	106757702	106757809	106761182	106761296	106754781	106755051	106763855	106763948
188	"ENSMUSG00000040528"	"Milr1"	chr11	+	106757702	106757809	106761185	106761296	106754781	106755051	106763855	106763948
189	"ENSMUSG00000024191"	"Bnip1"	chr17	+	26786696	26786788	26789694	26789796	26783444	26783537	26790925	26791044
190	"ENSMUSG00000001052"	"Sec24b"	chr3	-	130020537	130020642	130030531	130030657	130011791	130011872	130033830	130033974
191	"ENSMUSG00000053819"	"Camk2d"	chr3	+	126770784	126770857	126771773	126771846	126767513	126767579	126780359	126780462
192	"ENSMUSG00000053819"	"Camk2d"	chr3	+	126802936	126802969	126805856	126805916	126801716	126801761	126810638	126810687
193	"ENSMUSG00000014907"	"Naf1"	chr8	+	66872154	66872258	66877666	66877760	66864537	66864700	66879598	66879681
194	"ENSMUSG00000039701"	"Usp53"	chr3	-	122961318	122961432	122961532	122961641	122961154	122961237	122962883	122963018
195	"ENSMUSG00000027966"	"Col11a1"	chr3	+	114094516	114094633	114094860	114095013	114090131	114090257	114095200	114095293
196	"ENSMUSG00000059857"	"Ntng1"	chr3	-	109827626	109827761	109832467	109832635	109782681	109782911	109851764	109851791
197	"ENSMUSG00000059857"	"Ntng1"	chr3	-	109851764	109851791	109871606	109871633	109832467	109832635	109872199	109872372
198	"ENSMUSG00000027942"	"4933434E20Rik"	chr3	+	90056206	90056324	90056528	90056582	90053507	90053609	90058484	90058651
199	"ENSMUSG00000027333"	"Smox"	chr2	+	131520411	131521171	131522058	131522219	131520094	131520268	131524742	131525172
200	"ENSMUSG00000027953"	"Slc50a1"	chr3	-	89269049	89269211	89269826	89269950	89268672	89268792	89270061	89270139
201	"ENSMUSG00000097986"	"Gm26953"	chr5	+	112218222	112218502	112222659	112222822	112217053	112217197	112224301	112224386
202	"ENSMUSG00000097986"	"Gm26953"	chr5	+	112218355	112218502	112222659	112222822	112217053	112217197	112224301	112224386
203	"ENSMUSG00000026319"	"Relch"	chr1	+	105740434	105740517	105741012	105741095	105735922	105736022	105741296	105741360
204	"ENSMUSG00000034544"	"Rsrc1"	chr3	+	66996464	66996590	67082535	67082709	66994516	66994712	67180828	67180865
205	"ENSMUSG00000068877"	"Selenbp2"	chr3	+	94696991	94697104	94697304	94697490	94696793	94696850	94698042	94698163
206	"ENSMUSG00000039382"	"Wdr45"	chrX	+	7724186	7724291	7725930	7726036	7724023	7724098	7726197	7726292
207	"ENSMUSG00000039382"	"Wdr45"	chrX	+	7724186	7724291	7726197	7726292	7724023	7724098	7726685	7726765
208	"ENSMUSG00000116643"	"Gm30162"	chr16	+	75659351	75659448	75676232	75676301	75646210	75646333	75678076	75678211
209	"ENSMUSG00000028700"	"Pomgnt1"	chr4	+	116153550	116153668	116153841	116153940	116152862	116152976	116154091	116154219
210	"ENSMUSG00000032839"	"Trpc1"	chr9	-	95736819	95736921	95743196	95743351	95732006	95732209	95749667	95750358
211	"ENSMUSG00000019302"	"Atp6v0a1"	chr11	+	101049458	101049476	101054830	101054848	101048417	101048525	101055025	101055143
212	"ENSMUSG00000034621"	"Gpatch8"	chr11	-	102531312	102531330	102537111	102537146	102528093	102528166	102538281	102538356
213	"ENSMUSG00000025373"	"Rnf41"	chr10	+	128432196	128432317	128435312	128435584	128428590	128428703	128436467	128436603
214	"ENSMUSG00000058153"	"Sez6l"	chr5	-	112428375	112428570	112436282	112436474	112426725	112426758	112438401	112438596
215	"ENSMUSG00000017412"	"Cacnb4"	chr2	-	52465893	52465913	52467143	52467163	52465597	52465678	52467243	52467320
216	"ENSMUSG00000046709"	"Mapk10"	chr5	-	102976354	102976426	102987202	102987274	102966445	102966628	102989619	102989785
217	"ENSMUSG00000039275"	"Foxk2"	chr11	+	121296028	121296222	121296222	121296351	121290743	121290890	121296913	121297089
218	"ENSMUSG00000009207"	"Lnpk"	chr2	-	74554987	74555046	74568940	74569128	74551060	74551101	74570934	74570976
219	"ENSMUSG00000053333"	"Dis3l2"	chr1	+	86791415	86791457	86812511	86812589	86760287	86760389	86821221	86821450
220	"ENSMUSG00000073643"	"Wdfy1"	chr1	-	79717202	79717315	79724644	79724757	79714873	79715000	79726565	79726716
221	"ENSMUSG00000073643"	"Wdfy1"	chr1	-	79719123	79719274	79726565	79726716	79717202	79717315	79729655	79729710
222	"ENSMUSG00000073643"	"Wdfy1"	chr1	-	79722213	79722268	79729655	79729710	79718973	79719274	79733799	79733873
