ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
18	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53446775	53446887	53446340	53446483	53447155	53447313
19	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53449274	53451192	53447155	53447313	53451412	53451503
20	"ENSMUSG00000025025"	"Mxi1"	chr19	+	53346450	53346480	53331350	53331483	53369541	53369656
21	"ENSMUSG00000099988"	"1700054A03Rik"	chr19	+	53078534	53079384	53076242	53076445	53083998	53084516
22	"ENSMUSG00000099988"	"1700054A03Rik"	chr19	+	53079192	53079384	53076251	53076445	53083998	53084392
23	"ENSMUSG00000099988"	"1700054A03Rik"	chr19	+	53081464	53083081	53076226	53076445	53083998	53084396
24	"ENSMUSG00000025027"	"Xpnpep1"	chr19	-	53014610	53014674	53013398	53013503	53019985	53020296
25	"ENSMUSG00000025027"	"Xpnpep1"	chr19	-	53032008	53032097	53025258	53025383	53038513	53038553
26	"ENSMUSG00000025027"	"Xpnpep1"	chr19	-	53032624	53032821	53032008	53032097	53038513	53038560
27	"ENSMUSG00000043531"	"Sorcs1"	chr19	-	50152759	50152920	50150966	50151351	50153053	50153159
28	"ENSMUSG00000025069"	"Gsto2"	chr19	+	47874829	47875052	47872015	47872124	47884655	47884762
29	"ENSMUSG00000025069"	"Gsto2"	chr19	+	47876395	47876497	47874829	47875052	47884655	47884762
30	"ENSMUSG00000071528"	"Atp5md"	chr19	-	47084768	47084858	47083485	47083569	47085954	47086047
31	"ENSMUSG00000025041"	"Nt5c2"	chr19	-	46898327	46898521	46897575	46897669	46898621	46898679
32	"ENSMUSG00000025041"	"Nt5c2"	chr19	-	46909489	46909548	46904974	46905092	46924261	46924335
33	"ENSMUSG00000025041"	"Nt5c2"	chr19	-	46937291	46937373	46924261	46924335	46950845	46950965
34	"ENSMUSG00000025041"	"Nt5c2"	chr19	-	46950845	46950965	46922713	46924335	46962271	46962308
35	"ENSMUSG00000025041"	"Nt5c2"	chr19	-	46953030	46953158	46950845	46950965	46962271	46962308
36	"ENSMUSG00000064105"	"Cnnm2"	chr19	+	46871655	46871721	46868537	46868631	46877207	46877392
37	"ENSMUSG00000003559"	"As3mt"	chr19	+	46708967	46709118	46707917	46708197	46709546	46709661
38	"ENSMUSG00000003559"	"As3mt"	chr19	+	46709546	46709661	46708967	46709118	46712220	46712290
39	"ENSMUSG00000003559"	"As3mt"	chr19	+	46709546	46709683	46708967	46709118	46712220	46712290
40	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46588223	46588309	46587934	46588010	46590140	46590201
41	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46589553	46589746	46588223	46588309	46590140	46590201
42	"ENSMUSG00000025035"	"Arl3"	chr19	-	46541442	46541510	46531106	46531386	46542351	46542537
43	"ENSMUSG00000025035"	"Arl3"	chr19	-	46541442	46541529	46531117	46531386	46542351	46542537
44	"ENSMUSG00000025231"	"Sufu"	chr19	+	46401123	46401258	46396895	46397284	46424998	46425135
45	"ENSMUSG00000025228"	"Actr1a"	chr19	-	46379412	46379474	46378607	46378648	46379581	46379756
46	"ENSMUSG00000025228"	"Actr1a"	chr19	-	46392348	46392516	46387451	46387516	46395629	46395729
47	"ENSMUSG00000025227"	"Mfsd13a"	chr19	+	46366310	46366553	46356879	46356984	46367209	46367292
48	"ENSMUSG00000025227"	"Mfsd13a"	chr19	+	46371935	46372107	46369236	46369333	46372181	46372375
49	"ENSMUSG00000036748"	"Cuedc2"	chr19	-	46338309	46338411	46332617	46332701	46338568	46338627
50	"ENSMUSG00000036748"	"Cuedc2"	chr19	-	46338312	46338411	46332617	46332701	46338568	46338624
51	"ENSMUSG00000036748"	"Cuedc2"	chr19	-	46338312	46338420	46332617	46332701	46338568	46338626
52	"ENSMUSG00000036748"	"Cuedc2"	chr19	-	46338312	46338430	46332617	46332701	46338568	46338608
53	"ENSMUSG00000025225"	"Nfkb2"	chr19	+	46311008	46311078	46310723	46310875	46311281	46311454
54	"ENSMUSG00000025224"	"Gbf1"	chr19	+	46163519	46163625	46152508	46152792	46170656	46170723
55	"ENSMUSG00000025224"	"Gbf1"	chr19	+	46256407	46256482	46255652	46255707	46259103	46259251
56	"ENSMUSG00000025224"	"Gbf1"	chr19	+	46270257	46270351	46269744	46269981	46270673	46270850
57	"ENSMUSG00000025224"	"Gbf1"	chr19	+	46283034	46283185	46280537	46280731	46283319	46283450
58	"ENSMUSG00000025221"	"Kcnip2"	chr19	-	45794479	45794587	45794198	45794303	45794739	45794810
59	"ENSMUSG00000025221"	"Kcnip2"	chr19	-	45794739	45794810	45794479	45794587	45794977	45795047
60	"ENSMUSG00000025221"	"Kcnip2"	chr19	-	45796278	45796332	45795579	45795704	45797090	45797186
61	"ENSMUSG00000025221"	"Kcnip2"	chr19	-	45796278	45797186	45795579	45795704	45815730	45816022
62	"ENSMUSG00000025221"	"Kcnip2"	chr19	-	45797090	45797186	45795579	45795704	45815730	45816022
63	"ENSMUSG00000025220"	"Oga"	chr19	-	45762184	45762270	45761103	45761208	45765449	45765624
64	"ENSMUSG00000025220"	"Oga"	chr19	-	45782931	45783192	45779030	45779083	45783694	45783837
65	"ENSMUSG00000025219"	"Fgf8"	chr19	-	45741910	45741997	45741498	45741646	45742515	45742552
66	"ENSMUSG00000025219"	"Fgf8"	chr19	-	45741910	45741997	45741498	45741679	45742515	45742552
67	"ENSMUSG00000025219"	"Fgf8"	chr19	-	45742515	45742552	45741498	45741679	45742652	45742684
68	"ENSMUSG00000040913"	"Fbxw4"	chr19	-	45579652	45579793	45579120	45579262	45591728	45591794
69	"ENSMUSG00000040913"	"Fbxw4"	chr19	-	45582715	45582801	45579652	45579793	45591728	45591794
70	"ENSMUSG00000025215"	"Tlx1"	chr19	+	45152734	45152808	45151468	45151492	45153515	45153717
71	"ENSMUSG00000074818"	"Pdzd7"	chr19	-	45030197	45030289	45029979	45030071	45033011	45033187
72	"ENSMUSG00000074818"	"Pdzd7"	chr19	-	45033922	45034017	45033634	45033685	45036056	45036254
73	"ENSMUSG00000074818"	"Pdzd7"	chr19	-	45037538	45037599	45036730	45037126	45039166	45039314
74	"ENSMUSG00000074818"	"Pdzd7"	chr19	-	45040562	45040703	45040160	45040335	45045417	45045643
75	"ENSMUSG00000035342"	"Lzts2"	chr19	+	45021386	45021836	45014864	45015323	45024718	45024917
76	"ENSMUSG00000035342"	"Lzts2"	chr19	+	45023541	45024204	45021386	45021836	45024718	45024870
77	"ENSMUSG00000004231"	"Pax2"	chr19	+	44796627	44796696	44790682	44790802	44815907	44816083
78	"ENSMUSG00000117823"	"Gm35610"	chr19	+	44742058	44742395	44741664	44741806	44742582	44743444
79	"ENSMUSG00000117911"	"Gm35460"	chr19	+	44623037	44623225	44620372	44620443	44636851	44636944
80	"ENSMUSG00000117911"	"Gm35460"	chr19	+	44639523	44639659	44637266	44638269	44646152	44646256
81	"ENSMUSG00000057506"	"Bloc1s2"	chr19	-	44145940	44146057	44143020	44143140	44146358	44146399
82	"ENSMUSG00000025200"	"Cwf19l1"	chr19	-	44111330	44111421	44110030	44110660	44112948	44112998
83	"ENSMUSG00000040414"	"Slc25a28"	chr19	-	43665912	43665977	43665771	43665828	43666914	43667143
84	"ENSMUSG00000040414"	"Slc25a28"	chr19	-	43666914	43667143	43665771	43665828	43674475	43674881
85	"ENSMUSG00000025189"	"Cnnm1"	chr19	+	43476179	43476242	43472376	43472424	43484844	43485008
86	"ENSMUSG00000074852"	"Hpse2"	chr19	-	43384740	43384898	43294202	43294364	43388021	43388355
87	"ENSMUSG00000042401"	"Crtac1"	chr19	-	42287172	42287215	42284122	42284266	42287852	42287998
88	"ENSMUSG00000018820"	"Zfyve27"	chr19	+	42185619	42185640	42184117	42184189	42185804	42185949
89	"ENSMUSG00000018821"	"Avpi1"	chr19	-	42128302	42128494	42124778	42125026	42128870	42128989
90	"ENSMUSG00000025159"	"Mms19"	chr19	-	41952406	41952562	41950751	41950851	41953668	41953818
91	"ENSMUSG00000025159"	"Mms19"	chr19	-	41954732	41954858	41954465	41954547	41955117	41955138
92	"ENSMUSG00000025159"	"Mms19"	chr19	-	41962949	41963034	41962799	41962861	41963400	41963470
93	"ENSMUSG00000025159"	"Mms19"	chr19	-	41962949	41963078	41962799	41962861	41963400	41963458
94	"ENSMUSG00000025159"	"Mms19"	chr19	-	41963862	41963937	41963400	41963470	41964317	41964403
95	"ENSMUSG00000025159"	"Mms19"	chr19	-	41969702	41969751	41966213	41966314	41980998	41981114
96	"ENSMUSG00000025157"	"Zdhhc16"	chr19	+	41934737	41934883	41933489	41933665	41937602	41937850
97	"ENSMUSG00000025157"	"Zdhhc16"	chr19	+	41934839	41934883	41933479	41933665	41937602	41937850
98	"ENSMUSG00000025157"	"Zdhhc16"	chr19	+	41939856	41939904	41939599	41939733	41940649	41940713
99	"ENSMUSG00000025157"	"Zdhhc16"	chr19	+	41942129	41942224	41941935	41942006	41943581	41943596
100	"ENSMUSG00000025020"	"Slit1"	chr19	-	41721039	41721111	41652694	41652766	41727069	41727141
101	"ENSMUSG00000025014"	"Dntt"	chr19	+	41058566	41058626	41055759	41055843	41059065	41059525
102	"ENSMUSG00000048120"	"Entpd1"	chr19	+	40711162	40711290	40659769	40659900	40720456	40720574
103	"ENSMUSG00000025007"	"Aldh18a1"	chr19	-	40579861	40580076	40577771	40577921	40588309	40588382
104	"ENSMUSG00000025007"	"Aldh18a1"	chr19	-	40585489	40585605	40579861	40580076	40588309	40588410
105	"ENSMUSG00000025007"	"Aldh18a1"	chr19	-	40586126	40586192	40585489	40585605	40588309	40588369
106	"ENSMUSG00000060613"	"Cyp2c70"	chr19	-	40180360	40180510	40167462	40167623	40187094	40187286
107	"ENSMUSG00000060613"	"Cyp2c70"	chr19	-	40183865	40184028	40180143	40180510	40187094	40187286
108	"ENSMUSG00000054827"	"Cyp2c50"	chr19	+	40092203	40092380	40090944	40091105	40096716	40096858
109	"ENSMUSG00000025004"	"Cyp2c40"	chr19	-	39802771	39802833	39802479	39802656	39803769	39803859
110	"ENSMUSG00000025004"	"Cyp2c40"	chr19	-	39812344	39812401	39807514	39807677	39812554	39812749
111	"ENSMUSG00000067229"	"Cyp2c66"	chr19	+	39141890	39142053	39113897	39114096	39142274	39142424
112	"ENSMUSG00000024998"	"Plce1"	chr19	+	38503107	38503180	38481108	38481356	38523914	38524066
113	"ENSMUSG00000024998"	"Plce1"	chr19	+	38748409	38748451	38745765	38745895	38749291	38749413
114	"ENSMUSG00000041180"	"Hectd2"	chr19	+	36583935	36584074	36569372	36569502	36584895	36584998
115	"ENSMUSG00000041180"	"Hectd2"	chr19	+	36595208	36595254	36587365	36587430	36597076	36597186
116	"ENSMUSG00000041180"	"Hectd2"	chr19	+	36601428	36601528	36599595	36599719	36604249	36604357
117	"ENSMUSG00000041180"	"Hectd2"	chr19	+	36601431	36601528	36599595	36599719	36604249	36604357
118	"ENSMUSG00000041180"	"Hectd2"	chr19	+	36601469	36601528	36599595	36599719	36604249	36604357
119	"ENSMUSG00000024803"	"Ankrd1"	chr19	-	36112934	36113019	36111960	36112817	36114976	36115075
120	"ENSMUSG00000024798"	"Htr7"	chr19	-	35964380	35964477	35960314	35960399	35969308	35970064
121	"ENSMUSG00000024798"	"Htr7"	chr19	-	36012756	36012771	35969303	35970064	36041554	36041612
122	"ENSMUSG00000024798"	"Htr7"	chr19	-	36041554	36041612	35969308	35970064	36056705	36057360
123	"ENSMUSG00000094707"	"A830019P07Rik"	chr19	-	35838759	35838976	35836468	35836613	35841273	35841329
124	"ENSMUSG00000094707"	"A830019P07Rik"	chr19	-	35842363	35842421	35841273	35841329	35923486	35923547
125	"ENSMUSG00000094707"	"A830019P07Rik"	chr19	-	35888234	35888460	35842363	35842421	35923486	35923547
126	"ENSMUSG00000094707"	"A830019P07Rik"	chr19	-	35914088	35914232	35888234	35888460	35923486	35923547
127	"ENSMUSG00000024795"	"Kif20b"	chr19	+	34964528	34964681	34959415	34959571	34966046	34966111
128	"ENSMUSG00000024795"	"Kif20b"	chr19	+	34972396	34972498	34969919	34970117	34972858	34973009
129	"ENSMUSG00000033610"	"Pank1"	chr19	-	34840756	34841109	34827119	34827373	34877685	34877917
130	"ENSMUSG00000024778"	"Fas"	chr19	+	34310011	34310169	34307124	34307278	34315178	34315316
131	"ENSMUSG00000024778"	"Fas"	chr19	+	34318782	34318836	34318589	34318651	34319309	34319389
132	"ENSMUSG00000024770"	"Lipn"	chr19	+	34071667	34071866	34069413	34069531	34073516	34073626
133	"ENSMUSG00000024771"	"Lipk"	chr19	+	34019657	34019719	34018678	34018791	34020222	34020340
134	"ENSMUSG00000024899"	"Papss2"	chr19	+	32646328	32646343	32641299	32641411	32651895	32652101
135	"ENSMUSG00000040451"	"Sgms1"	chr19	-	32156569	32156647	32142745	32142863	32159523	32160223
136	"ENSMUSG00000040451"	"Sgms1"	chr19	-	32157322	32157379	32156569	32156647	32159523	32160363
137	"ENSMUSG00000040451"	"Sgms1"	chr19	-	32157465	32157677	32157322	32157379	32159523	32160363
138	"ENSMUSG00000040451"	"Sgms1"	chr19	-	32259975	32260097	32247993	32248036	32289540	32289631
139	"ENSMUSG00000040451"	"Sgms1"	chr19	-	32275386	32275508	32247993	32248036	32276885	32276926
140	"ENSMUSG00000052920"	"Prkg1"	chr19	-	30578609	30578672	30571611	30571678	30578757	30578880
141	"ENSMUSG00000046324"	"Ermp1"	chr19	-	29623068	29623259	29617817	29617970	29623640	29623815
142	"ENSMUSG00000046324"	"Ermp1"	chr19	-	29639856	29639984	29637290	29637396	29645966	29646027
143	"ENSMUSG00000038658"	"Ric1"	chr19	+	29584466	29584577	29584174	29584213	29585780	29585870
144	"ENSMUSG00000016495"	"Plgrkt"	chr19	-	29361041	29361139	29360816	29360927	29361796	29361970
145	"ENSMUSG00000024789"	"Jak2"	chr19	+	29252436	29252519	29251827	29252118	29262182	29262433
146	"ENSMUSG00000024780"	"Cdc37l1"	chr19	+	29007572	29007695	29006971	29007087	29011888	29012053
147	"ENSMUSG00000064202"	"4430402I18Rik"	chr19	-	28954089	28954131	28948618	28948743	28959679	28959728
148	"ENSMUSG00000064202"	"4430402I18Rik"	chr19	-	28959679	28959728	28948618	28948743	28963535	28963587
149	"ENSMUSG00000041035"	"Gm17018"	chr19	+	45560986	45561084	45560634	45560707	45564910	45564991
150	"ENSMUSG00000097735"	"D930032P07Rik"	chr19	+	28690686	28690758	28686614	28686754	28694004	28694206
151	"ENSMUSG00000097735"	"D930032P07Rik"	chr19	+	28717204	28717279	28694004	28694206	28719209	28719752
152	"ENSMUSG00000040929"	"Rfx3"	chr19	-	27806187	27806342	27802381	27802479	27806792	27806908
153	"ENSMUSG00000040929"	"Rfx3"	chr19	-	27837406	27837481	27830610	27830792	27849710	27849969
154	"ENSMUSG00000040929"	"Rfx3"	chr19	-	27923207	27923266	27900778	27900903	28010971	28011166
155	"ENSMUSG00000040929"	"Rfx3"	chr19	-	27982853	27982946	27923207	27923266	28010971	28011045
156	"ENSMUSG00000024837"	"Dmrt1"	chr19	+	25545818	25546102	25509679	25509863	25559866	25560011
157	"ENSMUSG00000041731"	"Pgm5"	chr19	-	24824291	24824438	24820119	24820245	24834742	24834905
158	"ENSMUSG00000074925"	"Ptar1"	chr19	+	23717812	23718102	23708753	23708967	23720057	23720198
159	"ENSMUSG00000024943"	"Smc5"	chr19	-	23215154	23215199	23214644	23214740	23218404	23218530
160	"ENSMUSG00000118155"	"Gm50136"	chr19	+	23062773	23062917	23061882	23062067	23063277	23063991
161	"ENSMUSG00000024754"	"Cemip2"	chr19	+	21780170	21780252	21778341	21778786	21792637	21792980
162	"ENSMUSG00000024750"	"Zfand5"	chr19	+	21277654	21277758	21275979	21277089	21279624	21279750
163	"ENSMUSG00000053279"	"Aldh1a1"	chr19	+	20559763	20559864	20553098	20553200	20601997	20602077
164	"ENSMUSG00000024659"	"Anxa1"	chr19	-	20376461	20376545	20375224	20375347	20376651	20376710
165	"ENSMUSG00000024659"	"Anxa1"	chr19	-	20388474	20388693	20384692	20384772	20390611	20390673
166	"ENSMUSG00000094732"	"1500015L24Rik"	chr19	+	20325022	20325072	20324888	20324952	20419985	20420118
167	"ENSMUSG00000094732"	"1500015L24Rik"	chr19	+	20411251	20411315	20324884	20324952	20419985	20420118
168	"ENSMUSG00000094732"	"1500015L24Rik"	chr19	+	20419985	20420118	20405310	20405350	20421075	20421263
169	"ENSMUSG00000094732"	"1500015L24Rik"	chr19	+	20419985	20420118	20411251	20411315	20421075	20421263
170	"ENSMUSG00000094732"	"1500015L24Rik"	chr19	+	20433884	20434130	20422629	20422721	20436069	20436143
171	"ENSMUSG00000094732"	"1500015L24Rik"	chr19	+	20433895	20434130	20422629	20422721	20436069	20436143
172	"ENSMUSG00000094732"	"1500015L24Rik"	chr19	+	20436069	20436143	20422629	20422721	20436291	20436437
173	"ENSMUSG00000094732"	"1500015L24Rik"	chr19	+	20436291	20436437	20422629	20422721	20444725	20444883
174	"ENSMUSG00000094732"	"1500015L24Rik"	chr19	+	20436291	20436513	20422629	20422721	20444725	20444881
175	"ENSMUSG00000094732"	"1500015L24Rik"	chr19	+	20440538	20440729	20436291	20436513	20444725	20444883
176	"ENSMUSG00000024725"	"Ostf1"	chr19	-	18598912	18598989	18596350	18596401	18604165	18604212
177	"ENSMUSG00000024713"	"Pcsk5"	chr19	-	17617650	17617754	17595660	17595778	17642492	17642593
178	"ENSMUSG00000039126"	"Prune2"	chr19	+	17211677	17211713	17208230	17208329	17212291	17212330
179	"ENSMUSG00000046230"	"Vps13a"	chr19	-	16744785	16744957	16742995	16743058	16745660	16745767
180	"ENSMUSG00000046230"	"Vps13a"	chr19	-	16744823	16744957	16742995	16743058	16745660	16745767
181	"ENSMUSG00000060049"	"Olfr235"	chr19	+	12262027	12262126	12261031	12261204	12268212	12270387
182	"ENSMUSG00000060049"	"Olfr235"	chr19	+	12262958	12263149	12261033	12262126	12268212	12270387
183	"ENSMUSG00000094133"	"Olfr1431"	chr19	+	12202938	12203121	12200804	12200937	12205379	12205433
184	"ENSMUSG00000055933"	"Oosp3"	chr19	+	11699351	11699530	11697054	11697171	11700913	11701011
185	"ENSMUSG00000055895"	"Oosp2"	chr19	-	11651477	11651659	11649595	11649699	11660451	11660559
186	"ENSMUSG00000024680"	"Ms4a2"	chr19	-	11618415	11618514	11616956	11617571	11618853	11618898
187	"ENSMUSG00000024680"	"Ms4a2"	chr19	-	11622682	11622782	11622042	11622177	11623559	11623643
188	"ENSMUSG00000058470"	"Gm8369"	chr19	+	11493094	11493228	11492049	11492135	11502158	11502279
189	"ENSMUSG00000058470"	"Gm8369"	chr19	+	11506155	11506288	11504798	11504855	11508290	11508392
190	"ENSMUSG00000024675"	"Ms4a4c"	chr19	+	11421257	11421359	11418992	11419118	11426195	11427246
191	"ENSMUSG00000024672"	"Ms4a7"	chr19	-	11325806	11325863	11321504	11324628	11327924	11328050
192	"ENSMUSG00000024673"	"Ms4a1"	chr19	-	11252049	11252106	11250876	11251883	11253178	11254684
193	"ENSMUSG00000057240"	"Ms4a13"	chr19	-	11171878	11171965	11169417	11169996	11172530	11172626
194	"ENSMUSG00000034659"	"Tmem109"	chr19	-	10878078	10878149	10874241	10874486	10881651	10881731
195	"ENSMUSG00000034659"	"Tmem109"	chr19	-	10880179	10880302	10874259	10874486	10881651	10881698
196	"ENSMUSG00000024736"	"Tmem132a"	chr19	-	10866468	10866687	10865255	10865587	10866929	10867144
197	"ENSMUSG00000024670"	"Cd6"	chr19	-	10792827	10792944	10791381	10791453	10794141	10794237
198	"ENSMUSG00000024670"	"Cd6"	chr19	-	10797675	10797978	10796325	10796388	10798315	10798627
199	"ENSMUSG00000043789"	"Vwce"	chr19	+	10650560	10650648	10648425	10648508	10653049	10653135
200	"ENSMUSG00000034445"	"Cyb561a3"	chr19	+	10577733	10578083	10577490	10577563	10578981	10579074
201	"ENSMUSG00000034445"	"Cyb561a3"	chr19	+	10578981	10579074	10577171	10578083	10580462	10580562
202	"ENSMUSG00000034445"	"Cyb561a3"	chr19	+	10578981	10579074	10577450	10577563	10580462	10580562
203	"ENSMUSG00000034445"	"Cyb561a3"	chr19	+	10585181	10585390	10582297	10582496	10586690	10586845
204	"ENSMUSG00000034820"	"Cpsf7"	chr19	+	10532130	10532196	10531780	10531999	10532819	10532923
205	"ENSMUSG00000034820"	"Cpsf7"	chr19	+	10532257	10532334	10531818	10531999	10532819	10532923
206	"ENSMUSG00000034820"	"Cpsf7"	chr19	+	10532260	10532334	10531826	10531999	10532819	10532923
207	"ENSMUSG00000036098"	"Myrf"	chr19	-	10215273	10215354	10215016	10215102	10215741	10215810
208	"ENSMUSG00000036098"	"Myrf"	chr19	-	10215273	10215354	10215016	10215105	10215741	10215810
209	"ENSMUSG00000036372"	"Tmem258"	chr19	+	10205749	10206124	10204013	10204264	10206423	10206533
210	"ENSMUSG00000010663"	"Fads1"	chr19	+	10184926	10185037	10182887	10183264	10185684	10185882
211	"ENSMUSG00000024665"	"Fads2"	chr19	-	10075116	10075152	10070563	10070624	10082564	10082690
212	"ENSMUSG00000024664"	"Fads3"	chr19	+	10052835	10053033	10052201	10052312	10054019	10054121
213	"ENSMUSG00000024664"	"Fads3"	chr19	+	10055596	10055694	10055106	10055183	10055990	10056087
214	"ENSMUSG00000024663"	"Rab3il1"	chr19	+	10026379	10026440	10015230	10015285	10026529	10026785
215	"ENSMUSG00000024663"	"Rab3il1"	chr19	+	10028284	10028503	10027559	10027637	10030149	10030278
216	"ENSMUSG00000024663"	"Rab3il1"	chr19	+	10029473	10029620	10028284	10028503	10030149	10030278
217	"ENSMUSG00000118100"	"Gm50340"	chr19	+	9900867	9901077	9899689	9900020	9902516	9902557
218	"ENSMUSG00000024660"	"Incenp"	chr19	-	9883191	9883203	9878318	9878428	9883698	9883833
219	"ENSMUSG00000024660"	"Incenp"	chr19	-	9895574	9895641	9895320	9895471	9899338	9899381
220	"ENSMUSG00000071646"	"Mta2"	chr19	+	8942919	8943032	8942492	8942719	8943464	8943532
221	"ENSMUSG00000071647"	"Eml3"	chr19	+	8934950	8935046	8934241	8934352	8936303	8936324
222	"ENSMUSG00000071662"	"Polr2g"	chr19	-	8797235	8797395	8794479	8794530	8798223	8798333
223	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8742253	8742497	8741412	8741575	8742853	8742860
224	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8742853	8742924	8741802	8742497	8743079	8743135
225	"ENSMUSG00000010095"	"Slc3a2"	chr19	-	8711833	8711928	8709714	8709783	8712729	8712903
226	"ENSMUSG00000063796"	"Slc22a8"	chr19	+	8593212	8593292	8591288	8591456	8593882	8594239
227	"ENSMUSG00000110298"	"Gm8189"	chr19	-	8477282	8477391	8474726	8474968	8478953	8479056
228	"ENSMUSG00000075044"	"Slc22a29"	chr19	-	8162648	8162757	8161501	8161631	8169154	8169369
229	"ENSMUSG00000053080"	"2700081O15Rik"	chr19	+	7421913	7422462	7421027	7421644	7422642	7425540
230	"ENSMUSG00000024969"	"Mark2"	chr19	-	7278041	7278086	7275395	7277450	7279985	7280012
231	"ENSMUSG00000024969"	"Mark2"	chr19	-	7278041	7278086	7275395	7277450	7280997	7281255
232	"ENSMUSG00000024969"	"Mark2"	chr19	-	7279110	7279278	7278041	7278086	7279985	7280012
233	"ENSMUSG00000024969"	"Mark2"	chr19	-	7279985	7280012	7276848	7277450	7280997	7281255
234	"ENSMUSG00000024969"	"Mark2"	chr19	-	7279985	7280012	7278041	7278086	7280997	7281255
235	"ENSMUSG00000024969"	"Mark2"	chr19	-	7279985	7280012	7279110	7279278	7280997	7281255
236	"ENSMUSG00000024969"	"Mark2"	chr19	-	7281797	7281959	7280997	7281255	7282725	7282818
237	"ENSMUSG00000024965"	"Fermt3"	chr19	-	7003679	7003756	7003467	7003575	7013847	7013950
238	"ENSMUSG00000024965"	"Fermt3"	chr19	-	7014616	7014850	7014327	7014447	7018665	7018839
239	"ENSMUSG00000024958"	"Gpr137"	chr19	-	6939528	6939686	6939260	6939410	6940351	6940401
240	"ENSMUSG00000024958"	"Gpr137"	chr19	-	6939528	6939754	6939260	6939410	6940351	6940401
241	"ENSMUSG00000024958"	"Gpr137"	chr19	-	6940921	6940949	6940351	6940482	6941091	6941507
242	"ENSMUSG00000024955"	"Esrra"	chr19	-	6914078	6914195	6913819	6913948	6920062	6920399
243	"ENSMUSG00000024955"	"Esrra"	chr19	-	6920062	6920399	6914078	6914195	6921621	6921808
244	"ENSMUSG00000024952"	"Rps6ka4"	chr19	-	6839908	6840001	6839498	6839678	6840333	6840405
245	"ENSMUSG00000061742"	"Slc22a12"	chr19	-	6540328	6540497	6538675	6538799	6540574	6540729
246	"ENSMUSG00000061742"	"Slc22a12"	chr19	-	6540574	6540729	6538675	6538799	6541059	6541163
247	"ENSMUSG00000032946"	"Rasgrp2"	chr19	+	6404017	6404095	6403431	6403563	6404299	6404337
248	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6342743	6342786	6342609	6342657	6343103	6343176
249	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6343254	6343386	6343103	6343176	6343460	6343521
250	"ENSMUSG00000024947"	"Men1"	chr19	+	6339338	6339503	6338282	6338961	6339686	6340172
251	"ENSMUSG00000039699"	"Batf2"	chr19	+	6164875	6165168	6164488	6164750	6166467	6166572
252	"ENSMUSG00000039699"	"Batf2"	chr19	+	6165363	6165568	6164459	6164553	6166467	6166572
253	"ENSMUSG00000024944"	"Arl2"	chr19	-	6138855	6138931	6137729	6137875	6139892	6139964
